,city,latitude,longitude,runners,distance,population,canton
694,I-Charvensod (AO),45.7202969,7.3241627,1,151123.0,nan,nan
695,Sugiez,46.96185999999999,7.11292,4,86482.0,nan,nan
696,Schinznach Bad,47.4504862,8.1684054,1,196392.0,nan,nan
697,Genve,46.2043907,6.1431577,1,63283.0,nan,nan
698,F-Collonges-sous-Salève,46.141043,6.144851999999999,2,75009.0,nan,nan
699,Senarclens,46.6003663,6.4869682,8,20876.0,nan,nan
700,Ferlens VD,46.5889426,6.7855468,2,18468.0,nan,nan
701,Caux,46.43245,6.9369,2,572122.0,nan,nan
702,Ittigen,46.9761433,7.4818936,2,111921.0,11390,BE
703,Ecuvillens,46.7543709,7.076108700000001,4,64426.0,nan,nan
704,Vuadens,46.6180319,7.025001199999999,2,46639.0,nan,nan
705,Arzier,46.4575812,6.210099599999999,12,43330.0,nan,nan
706,Port,n,a,2,,nan,nan
707,Evilard,47.149734,7.2388908,2,109617.0,nan,nan
708,La Converson,46.5131396,6.6784174,2,295422.0,nan,nan
709,Erde,46.2379665,7.2900686,2,95321.0,nan,nan
710,Allaman,46.4709528,6.3957297,5,22652.0,nan,nan
711,Schafisheim,47.3773199,8.1427231,1,190653.0,nan,nan
712,I-Speziale di Fasano (BR),40.7912702,17.4605461,1,1273723.0,nan,nan
713,F-La Baume,46.282368,6.612791,2,90662.0,nan,nan
714,IRL-Mallow,52.13897619999999,-8.6539164,2,,nan,nan
715,F-Aubiere,45.751175,3.110678,1,375666.0,nan,nan
716,F-Cusy,n,a,1,122292.0,nan,nan
717,I-Modena (MO),44.647128,10.9252269,1,503123.0,nan,nan
718,Villeneuve VD,46.396608,6.928768400000001,7,38725.0,nan,nan
719,F-Thoraise,47.174209,5.902349999999999,1,137598.0,nan,nan
720,F-Salans,n,a,1,145956.0,nan,nan
721,F-Toulon,43.124228,5.928,7,585852.0,nan,nan
722,St-Martin FR,43.589017,5.883787,3,22943.0,nan,nan
723,Leuggern,47.5810513,8.2152586,1,217878.0,nan,nan
724,Zug,47.1661672,8.5154946,4,238284.0,29256,ZG
725,Cormérod,46.866667,7.083337999999999,2,76825.0,nan,nan
726,I-Ayas (AO),45.8126711,7.6968469,1,204735.0,nan,nan
727,F-Yerres,48.712858,2.490967,2,502562.0,nan,nan
728,Vuiteboeuf,n,a,2,44950.0,nan,nan
729,Veysonnaz,46.1957548,7.337975699999999,2,107717.0,nan,nan
730,F-St Affrique,43.95818999999999,2.887126,1,631722.0,nan,nan
731,Vétroz,46.2257544,7.281970599999998,9,92001.0,nan,nan
732,Tramelan,47.2235029,7.102975,5,127043.0,nan,nan
733,Remaufens,46.5310802,6.878299999999999,4,33731.0,nan,nan
734,F-Villy le Pelloux,46.000601,6.133188,1,92771.0,nan,nan
735,Champvent,46.7829756,6.5728678,1,42799.0,nan,nan
736,Allschwil,47.5528925,7.5433615,3,206525.0,20536,BL
737,Marchissy,46.4878378,6.2470386,2,38335.0,nan,nan
738,Vaulion,46.6879021,6.3889387,4,39550.0,nan,nan
739,Romont FR,46.691887,6.9118086,9,39437.0,nan,nan
740,Saint-Barthélemy,17.9,-62.833333,3,,nan,nan
741,Boussens,43.1761539,0.9726119999999999,9,804201.0,nan,nan
742,Botterens,46.6168996,7.1122067,1,58610.0,nan,nan
743,D-Geneve,46.2043907,6.1431577,1,63283.0,nan,nan
744,F-Eplessier,49.783147,1.960489,1,683938.0,nan,nan
745,Collonge-Bellerive,46.2514024,6.2022904,6,70366.0,nan,nan
746,Granges VS,46.2584696,7.463425,2,104927.0,nan,nan
747,Granges-Marnand,46.76336,6.88765,1,38327.0,nan,nan
748,Gerolfingen,49.0531015,10.5107558,1,581619.0,nan,nan
749,Meinier,46.2467593,6.2343577,2,72272.0,nan,nan
750,Le Locle,47.0577195,6.7487354,5,92813.0,10444,NE
751,F-Lovagny,45.903776,6.032813000000001,1,107956.0,nan,nan
752,Salavaux,46.9183635,7.0223447,4,76015.0,nan,nan
753,F-Douai,50.367874,3.080602,3,647952.0,nan,nan
754,Chesières,46.2957462,6.9916269,2,57315.0,nan,nan
755,F-Bordeaux,44.837789,-0.57918,3,763948.0,nan,nan
756,F-Veigy Foncenex,46.2722263,6.2736508,5,76861.0,nan,nan
757,F-Les Fourgs,46.834976,6.400415,1,60274.0,nan,nan
758,F-Gradignan,44.77426699999999,-0.618945,1,767662.0,nan,nan
759,Vérossaz,46.2112877,6.9875012,1,59992.0,nan,nan
760,F-Villers le Lac,47.059247,6.667754,4,98287.0,nan,nan
761,Corbières,43.760822,5.750508,1,405640.0,nan,nan
762,F-Morbier,46.536667,6.014615999999999,1,72984.0,nan,nan
763,Soulce,47.3036769,7.269925199999999,2,141863.0,nan,nan
764,F-Collonges,46.13848,5.904071,4,85065.0,nan,nan
765,Riddes,46.1731437,7.222514899999998,2,83229.0,nan,nan
766,Martigny-Croix,46.083,7.048719999999999,2,76297.0,nan,nan
767,Le Brassus,46.5818107,6.2116248,2,51724.0,nan,nan
768,Echandens,46.5352022,6.5418995,13,7886.0,nan,nan
769,Villy VD,46.28315000000001,6.996690000000001,1,51146.0,nan,nan
770,F-Annecy le Vieux,45.9192139,6.141949899999999,8,102783.0,nan,nan
